id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
25032,678adaaa5d10296603b4b2d6,1275,1,46,right-1,right,right-dark,dark-up,greater-up,dual,2026-03-02 22:14:37.5550000
25033,678adaaa5d10296603b4b2d6,1141,1,47,left-8,right,left-dark,dark-up,fewer-up,dual,2026-03-02 22:14:40.9340000
25034,678adaaa5d10296603b4b2d6,1200,1,48,left-0,left,left-dark,light-up,fewer-up,dual,2026-03-02 22:14:44.4970000
25035,678adaaa5d10296603b4b2d6,1520,1,49,left-2,right,left-dark,dark-up,fewer-up,dual,2026-03-02 22:14:48.3030000
25036,678adaaa5d10296603b4b2d6,1088,1,50,left-9,right,left-dark,dark-up,fewer-up,dual,2026-03-02 22:14:50.5340000
25037,678adaaa5d10296603b4b2d6,1385,1,51,left-2,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:14:53.5050000
25038,678adaaa5d10296603b4b2d6,1517,0,52,right-2,left,right-dark,dark-up,greater-up,dual,2026-03-02 22:14:57.4750000
25039,678adaaa5d10296603b4b2d6,1524,1,53,left-1,right,left-dark,dark-up,fewer-up,dual,2026-03-02 22:15:00.1640000
25040,678adaaa5d10296603b4b2d6,1550,1,54,left-1,left,left-dark,light-up,fewer-up,dual,2026-03-02 22:15:02.9770000
25041,678adaaa5d10296603b4b2d6,1399,1,55,left-3,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:15:06.2070000
25042,678adaaa5d10296603b4b2d6,1307,1,56,right-3,right,right-dark,dark-up,greater-up,dual,2026-03-02 22:15:08.6250000
25043,678adaaa5d10296603b4b2d6,1049,1,57,right-2,left,right-dark,light-up,greater-up,dual,2026-03-02 22:15:11.2660000
25044,678adaaa5d10296603b4b2d6,1189,1,58,left-5,left,left-dark,dark-up,greater-up,dual,2026-03-02 22:15:14.5020000
25045,678adaaa5d10296603b4b2d6,1031,1,59,right-8,right,right-dark,dark-up,greater-up,dual,2026-03-02 22:15:16.9930000
25046,678adaaa5d10296603b4b2d6,709,0,60,left-6,left,left-dark,dark-up,fewer-up,dual,2026-03-02 22:15:39.1400000
25047,678adaaa5d10296603b4b2d6,1493,1,61,right-7,right,right-dark,light-up,fewer-up,dual,2026-03-02 22:15:42.3430000
25048,678adaaa5d10296603b4b2d6,1049,1,62,left-9,left,left-dark,light-up,fewer-up,dual,2026-03-02 22:15:45.3760000
25049,678adaaa5d10296603b4b2d6,1092,1,63,right-9,right,right-dark,dark-up,greater-up,dual,2026-03-02 22:15:48.7590000
