id,participant_id,response_time,correct,trial_number,stimuli_number,response,slope,legend,statement_type,statement_truth,attention,time_when
1109,6287a504c4cb277cf781b6bb,7691,1,26,linechart-real-20-ordered-interaction-1-3,right,increasing,ordered,interaction,1,dual,2026-03-18 22:16:17.104
1110,6287a504c4cb277cf781b6bb,6420,1,27,linechart-real-13-shuffled-main_effect-0-28,left,increasing,shuffled,main_effect,0,dual,2026-03-18 22:16:24.206
1111,6287a504c4cb277cf781b6bb,9819,1,28,linechart-real-21-ordered-interaction-1-7,right,increasing,ordered,interaction,1,dual,2026-03-18 22:16:34.710
1112,6287a504c4cb277cf781b6bb,7593,1,29,linechart-real-4-ordered-main_effect-1-2,right,increasing,ordered,main_effect,1,dual,2026-03-18 22:16:42.975
1113,6287a504c4cb277cf781b6bb,6803,1,30,linechart-real-16-shuffled-interaction-0-12,left,increasing,shuffled,interaction,0,dual,2026-03-18 22:16:50.465
1114,6287a504c4cb277cf781b6bb,9382,1,31,linechart-real-24-shuffled-interaction-1-27,right,increasing,shuffled,interaction,1,dual,2026-03-18 22:17:00.522
1115,65c121703758b1e73a54fe8e,59932,1,0,linechart-real-7-shuffled-interaction-0-27,left,increasing,shuffled,interaction,0,single,2026-03-18 22:18:04.422
1116,65c121703758b1e73a54fe8e,38382,1,1,linechart-real-0-ordered-interaction-1-23,right,increasing,ordered,interaction,1,single,2026-03-18 22:18:43.476
1117,65c121703758b1e73a54fe8e,90235,1,2,linechart-real-14-shuffled-interaction-0-5,left,increasing,shuffled,interaction,0,single,2026-03-18 22:20:14.581
1118,699a44983280eb15dfa56e8e,5964,1,0,linechart-real-9-shuffled-main_effect-0-12,left,increasing,shuffled,main_effect,0,single,2026-03-18 22:21:17.559
1119,699a44983280eb15dfa56e8e,6725,1,1,linechart-real-25-ordered-interaction-0-22,left,increasing,ordered,interaction,0,single,2026-03-18 22:21:24.899
1120,699a44983280eb15dfa56e8e,6553,1,2,linechart-real-27-ordered-main_effect-1-23,right,increasing,ordered,main_effect,1,single,2026-03-18 22:21:32.143
1121,699a44983280eb15dfa56e8e,4523,1,3,linechart-real-0-shuffled-main_effect-1-1,right,increasing,shuffled,main_effect,1,single,2026-03-18 22:21:37.324
1122,699a44983280eb15dfa56e8e,9960,1,4,linechart-real-15-shuffled-main_effect-0-2,left,increasing,shuffled,main_effect,0,single,2026-03-18 22:21:47.946
1123,699a44983280eb15dfa56e8e,8280,1,5,linechart-real-10-shuffled-interaction-0-10,left,increasing,shuffled,interaction,0,single,2026-03-18 22:21:56.878
1124,699a44983280eb15dfa56e8e,9638,1,6,linechart-real-13-ordered-interaction-0-25,left,increasing,ordered,interaction,0,single,2026-03-18 22:22:07.131
1125,699a44983280eb15dfa56e8e,6044,1,7,linechart-real-14-shuffled-interaction-0-29,left,increasing,shuffled,interaction,0,single,2026-03-18 22:22:13.830
1126,699a44983280eb15dfa56e8e,7813,1,8,linechart-real-2-ordered-main_effect-1-19,right,increasing,ordered,main_effect,1,single,2026-03-18 22:22:24.684
