id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
36310,69abace8fe8e1c23cb4aae7f,1294,1,16,left-2,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:33.3130000
36311,600c167e28de48080e812884,848,1,29,right-1,right,right-dark,dark-up,greater-up,single,2026-03-14 16:08:32.1240000
36312,573b8bc2f3580b0006ce0986,1071,1,27,left-7,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:32.0060000
36313,69606ec5fd842b942ecc6932,797,1,67,left-2,right,left-dark,light-up,greater-up,single,2026-03-14 16:08:33.3940000
36314,69abace8fe8e1c23cb4aae7f,1356,1,17,right-2,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:35.8850000
36315,600c167e28de48080e812884,860,0,30,right-6,right,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:34.5840000
36316,573b8bc2f3580b0006ce0986,1338,1,28,right-5,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:34.6450000
36317,698caa3dd8c53ba869e20089,778,0,20,left-5,left,left-dark,light-up,greater-up,single,2026-03-14 16:08:35.4860000
36318,69606ec5fd842b942ecc6932,1315,1,68,right-8,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:35.9470000
36319,600c167e28de48080e812884,615,0,31,left-0,left,left-dark,light-up,greater-up,single,2026-03-14 16:08:36.5850000
36320,69abace8fe8e1c23cb4aae7f,1170,0,18,left-2,left,left-dark,light-up,greater-up,single,2026-03-14 16:08:38.1890000
36321,573b8bc2f3580b0006ce0986,992,1,29,left-1,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:36.9460000
36322,698caa3dd8c53ba869e20089,314,1,21,left-4,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:37.2150000
36323,67a5c89e37476046227e6616,NULL,0,20,left-3,none,left-dark,dark-up,fewer-up,single,2026-03-14 16:08:38.1580000
36324,69606ec5fd842b942ecc6932,1062,1,69,right-2,left,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:38.2800000
36325,600c167e28de48080e812884,966,1,32,right-7,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:38.9430000
36326,69abace8fe8e1c23cb4aae7f,1372,1,19,left-7,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:40.6140000
36327,573b8bc2f3580b0006ce0986,1098,1,30,right-3,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:39.3830000
36328,698caa3dd8c53ba869e20089,934,1,22,left-8,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:39.7240000
36329,67a5c89e37476046227e6616,1477,1,21,left-5,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:41.1420000
36330,600c167e28de48080e812884,684,0,33,right-5,right,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:40.7380000
36331,69606ec5fd842b942ecc6932,1008,1,70,left-2,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:40.8020000
36332,573b8bc2f3580b0006ce0986,1158,1,31,right-9,left,right-dark,light-up,greater-up,single,2026-03-14 16:08:42.0250000
36333,698caa3dd8c53ba869e20089,1052,1,23,right-8,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:42.0450000
36334,600c167e28de48080e812884,662,0,34,left-6,left,left-dark,dark-up,fewer-up,single,2026-03-14 16:08:42.7230000
36335,67a5c89e37476046227e6616,1287,1,22,right-7,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:43.7600000
36336,69606ec5fd842b942ecc6932,1287,1,71,right-6,left,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:43.5290000
36337,573b8bc2f3580b0006ce0986,1085,1,32,left-7,right,left-dark,dark-up,fewer-up,single,2026-03-14 16:08:44.4030000
36338,698caa3dd8c53ba869e20089,1196,0,24,right-9,right,right-dark,light-up,greater-up,single,2026-03-14 16:08:44.3270000
36339,600c167e28de48080e812884,920,0,35,right-4,right,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:44.9240000
36340,69abace8fe8e1c23cb4aae7f,NULL,0,20,left-7,none,left-dark,dark-up,fewer-up,single,2026-03-14 16:08:47.2360000
36341,67a5c89e37476046227e6616,1372,1,23,left-4,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:46.3620000
36342,69606ec5fd842b942ecc6932,1279,1,72,right-5,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:45.9540000
36343,573b8bc2f3580b0006ce0986,1143,1,33,left-2,right,left-dark,dark-up,fewer-up,single,2026-03-14 16:08:46.6950000
36344,600c167e28de48080e812884,1113,1,36,left-4,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:47.0550000
36345,698caa3dd8c53ba869e20089,1103,1,25,left-6,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:46.6740000
36346,67a5c89e37476046227e6616,1248,1,24,right-8,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:48.9750000
36347,69606ec5fd842b942ecc6932,1080,1,73,left-0,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:48.1040000
36348,600c167e28de48080e812884,729,1,37,left-1,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:48.9060000
36349,573b8bc2f3580b0006ce0986,1066,1,34,right-5,left,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:48.8080000
36350,698caa3dd8c53ba869e20089,982,0,26,right-4,right,right-dark,light-up,greater-up,single,2026-03-14 16:08:48.7780000
36351,69abace8fe8e1c23cb4aae7f,1667,1,21,right-5,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:50.8320000
36352,69606ec5fd842b942ecc6932,922,1,74,left-1,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:50.3620000
36353,67a5c89e37476046227e6616,1419,1,25,left-9,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:51.4180000
36354,600c167e28de48080e812884,928,0,38,right-5,right,right-dark,light-up,greater-up,single,2026-03-14 16:08:50.9200000
36355,698caa3dd8c53ba869e20089,768,1,27,left-1,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:50.9050000
36356,573b8bc2f3580b0006ce0986,970,1,35,left-7,right,left-dark,light-up,greater-up,single,2026-03-14 16:08:51.0820000
36357,69abace8fe8e1c23cb4aae7f,935,1,22,right-0,left,right-dark,light-up,greater-up,single,2026-03-14 16:08:53.2250000
36358,69606ec5fd842b942ecc6932,1082,1,75,right-5,left,right-dark,light-up,greater-up,single,2026-03-14 16:08:52.5980000
36359,67a5c89e37476046227e6616,1082,1,26,left-2,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:53.6250000
36360,698caa3dd8c53ba869e20089,855,1,28,right-4,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:52.8710000
36361,600c167e28de48080e812884,1466,0,39,right-0,right,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:53.4840000
36362,573b8bc2f3580b0006ce0986,1157,1,36,right-4,left,right-dark,light-up,greater-up,single,2026-03-14 16:08:53.3890000
36363,69abace8fe8e1c23cb4aae7f,1366,0,23,right-5,right,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:55.7830000
36364,69606ec5fd842b942ecc6932,938,1,76,left-9,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:55.0350000
36365,698caa3dd8c53ba869e20089,706,1,29,left-0,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:55.0600000
