participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
60bc8860d04f4ac80d319a5c,1433,0,61,right-3,right,right-dark,light-up,greater-up,dual,51:29.0
6544ff9e0fb2eaaf83e2de5c,NULL,0,23,left-1,none,left-dark,light-up,fewer-up,dual,51:29.7
615e420a23219efe3427a367,1702,0,60,right-5,right,right-dark,dark-up,fewer-up,dual,51:30.8
67e48f46ac070276b3bc9cfa,594,1,48,right-2,right,right-dark,dark-up,greater-up,single,51:30.2
66b3e078bef7d6dd6c53e015,799,1,35,right-6,right,right-dark,dark-up,greater-up,dual,51:30.1
695bd68349914a703c6a9e80,NULL,0,48,right-3,none,right-dark,light-up,fewer-up,dual,51:30.9
65fcab5ed252c205f819b116,545,0,22,right-3,left,right-dark,dark-up,greater-up,dual,51:30.8
604db6324496c57afe822770,962,1,50,left-8,right,left-dark,dark-up,fewer-up,single,51:30.4
6984a9d17c365f6f621d7fe7,857,0,37,left-9,left,left-dark,dark-up,fewer-up,dual,51:29.9
5e6ca4b9a2b73d25c187ae61,1200,0,75,left-8,left,left-dark,dark-up,fewer-up,single,51:31.7
604fe822b095421e07e3f93e,1528,1,12,left-3,left,left-dark,light-up,fewer-up,dual,51:30.0
69acf86d93afc119933913e5,1096,1,54,left-6,left,left-dark,dark-up,greater-up,dual,51:31.4
69a5c500037701844052c365,1180,1,40,right-5,left,right-dark,dark-up,fewer-up,single,51:31.5
65fcab5ed252c205f819b116,596,0,23,right-8,right,right-dark,dark-up,fewer-up,dual,51:32.5
60bc8860d04f4ac80d319a5c,1609,0,62,right-3,left,right-dark,light-up,fewer-up,dual,51:31.7
67e48f46ac070276b3bc9cfa,927,1,49,right-7,right,right-dark,dark-up,greater-up,single,51:32.3
66b3e078bef7d6dd6c53e015,1124,1,36,right-5,left,right-dark,light-up,greater-up,dual,51:32.6
615e420a23219efe3427a367,1367,1,61,left-1,right,left-dark,dark-up,fewer-up,dual,51:33.6
6544ff9e0fb2eaaf83e2de5c,NULL,0,24,left-6,none,left-dark,dark-up,greater-up,dual,51:32.8
6984a9d17c365f6f621d7fe7,1127,1,38,left-5,left,left-dark,dark-up,greater-up,dual,51:32.3
604db6324496c57afe822770,1295,1,51,left-8,left,left-dark,light-up,fewer-up,single,51:33.0
5e6ca4b9a2b73d25c187ae61,1134,1,76,left-7,right,left-dark,light-up,greater-up,single,51:33.9
695bd68349914a703c6a9e80,NULL,0,49,right-2,none,right-dark,dark-up,fewer-up,dual,51:33.9
69a5c500037701844052c365,722,1,41,right-0,right,right-dark,light-up,fewer-up,single,51:33.6
604fe822b095421e07e3f93e,1138,1,13,left-9,right,left-dark,light-up,greater-up,dual,51:32.7
69acf86d93afc119933913e5,1050,1,55,right-0,right,right-dark,dark-up,greater-up,dual,51:33.9
65fcab5ed252c205f819b116,1156,0,24,left-4,left,left-dark,light-up,greater-up,dual,51:34.7
60bc8860d04f4ac80d319a5c,NULL,0,63,right-0,none,right-dark,light-up,greater-up,dual,51:34.0
67e48f46ac070276b3bc9cfa,857,0,50,right-3,left,right-dark,light-up,fewer-up,single,51:34.7
66b3e078bef7d6dd6c53e015,971,1,37,left-5,right,left-dark,dark-up,fewer-up,dual,51:35.0
615e420a23219efe3427a367,1079,0,62,left-9,left,left-dark,dark-up,fewer-up,dual,51:36.1
604db6324496c57afe822770,1283,1,52,right-3,right,right-dark,dark-up,greater-up,single,51:35.3
5e6ca4b9a2b73d25c187ae61,1341,1,77,left-9,left,left-dark,dark-up,greater-up,single,51:36.3
6984a9d17c365f6f621d7fe7,1438,1,39,right-4,left,right-dark,light-up,greater-up,dual,51:35.1
604fe822b095421e07e3f93e,892,1,14,left-6,left,left-dark,dark-up,greater-up,dual,51:34.9
695bd68349914a703c6a9e80,1179,1,50,left-9,left,left-dark,dark-up,greater-up,dual,51:36.7
65fcab5ed252c205f819b116,551,0,25,right-3,right,right-dark,dark-up,fewer-up,dual,51:36.6
6544ff9e0fb2eaaf83e2de5c,NULL,0,25,left-8,none,left-dark,dark-up,greater-up,dual,51:36.1
69acf86d93afc119933913e5,1177,1,56,left-6,left,left-dark,light-up,fewer-up,dual,51:36.3
69a5c500037701844052c365,1187,1,42,left-0,right,left-dark,light-up,greater-up,single,51:36.3
67e48f46ac070276b3bc9cfa,802,0,51,right-7,right,right-dark,light-up,greater-up,single,51:36.7
60bc8860d04f4ac80d319a5c,1262,0,64,right-2,left,right-dark,dark-up,greater-up,dual,51:37.2
66b3e078bef7d6dd6c53e015,1129,1,38,right-7,right,right-dark,light-up,fewer-up,dual,51:37.4
604db6324496c57afe822770,999,1,53,right-0,right,right-dark,light-up,fewer-up,single,51:37.5
5e6ca4b9a2b73d25c187ae61,1113,1,78,left-8,left,left-dark,light-up,fewer-up,single,51:38.6
615e420a23219efe3427a367,1357,0,63,left-8,right,left-dark,light-up,fewer-up,dual,51:39.1
695bd68349914a703c6a9e80,996,0,51,right-4,right,right-dark,dark-up,fewer-up,dual,51:39.0
604fe822b095421e07e3f93e,1037,1,15,right-2,right,right-dark,dark-up,greater-up,dual,51:37.4
69a5c500037701844052c365,885,1,43,left-1,right,left-dark,dark-up,fewer-up,single,51:38.4
65fcab5ed252c205f819b116,967,1,26,right-0,left,right-dark,dark-up,fewer-up,dual,51:39.0
6544ff9e0fb2eaaf83e2de5c,900,1,26,left-3,right,left-dark,dark-up,fewer-up,dual,51:38.6
67e48f46ac070276b3bc9cfa,938,1,52,right-6,right,right-dark,light-up,fewer-up,single,51:38.7
69acf86d93afc119933913e5,1095,1,57,left-6,right,left-dark,dark-up,fewer-up,dual,51:38.9
66b3e078bef7d6dd6c53e015,880,1,39,left-8,right,left-dark,light-up,greater-up,dual,51:39.4
604db6324496c57afe822770,1030,1,54,left-9,left,left-dark,dark-up,greater-up,single,51:39.5
60bc8860d04f4ac80d319a5c,1265,0,65,left-9,left,left-dark,dark-up,fewer-up,dual,51:39.5
5e6ca4b9a2b73d25c187ae61,1144,1,79,right-4,right,right-dark,light-up,fewer-up,single,51:40.8
695bd68349914a703c6a9e80,1152,1,52,left-2,right,left-dark,dark-up,fewer-up,dual,51:41.3
65fcab5ed252c205f819b116,819,1,27,left-6,right,left-dark,light-up,greater-up,dual,51:41.2
69a5c500037701844052c365,882,1,44,right-3,right,right-dark,dark-up,greater-up,single,51:40.7
604fe822b095421e07e3f93e,1136,1,16,right-9,right,right-dark,light-up,fewer-up,dual,51:39.9
615e420a23219efe3427a367,NULL,0,64,left-8,none,left-dark,dark-up,greater-up,dual,51:41.8
67e48f46ac070276b3bc9cfa,859,1,53,left-2,right,left-dark,light-up,greater-up,single,51:41.2
6544ff9e0fb2eaaf83e2de5c,1532,0,27,right-1,left,right-dark,light-up,fewer-up,dual,51:41.3
69acf86d93afc119933913e5,1036,1,58,left-5,left,left-dark,dark-up,greater-up,dual,51:41.3
6984a9d17c365f6f621d7fe7,1295,1,40,right-7,right,right-dark,dark-up,greater-up,dual,51:40.9
604db6324496c57afe822770,951,1,55,left-1,left,left-dark,light-up,fewer-up,single,51:41.7
60bc8860d04f4ac80d319a5c,1332,1,66,right-9,right,right-dark,light-up,fewer-up,dual,51:42.4
695bd68349914a703c6a9e80,1124,1,53,right-0,right,right-dark,light-up,fewer-up,dual,51:43.8
65fcab5ed252c205f819b116,1269,1,28,left-1,right,left-dark,light-up,greater-up,dual,51:43.8
69a5c500037701844052c365,1071,0,45,left-2,left,left-dark,light-up,greater-up,single,51:43.2
6984a9d17c365f6f621d7fe7,757,1,41,left-6,left,left-dark,dark-up,greater-up,dual,51:42.9
604fe822b095421e07e3f93e,1115,1,17,left-5,left,left-dark,light-up,fewer-up,dual,51:42.4
67e48f46ac070276b3bc9cfa,792,1,54,right-9,right,right-dark,dark-up,greater-up,single,51:43.7
69acf86d93afc119933913e5,1149,1,59,left-3,left,left-dark,dark-up,greater-up,dual,51:43.8
6544ff9e0fb2eaaf83e2de5c,1268,1,28,right-6,left,right-dark,dark-up,fewer-up,dual,51:44.0
604db6324496c57afe822770,1320,0,56,left-1,left,left-dark,dark-up,fewer-up,single,51:44.4
615e420a23219efe3427a367,1547,1,65,right-0,right,right-dark,light-up,fewer-up,dual,51:45.4
60bc8860d04f4ac80d319a5c,1699,0,67,right-8,right,right-dark,light-up,greater-up,dual,51:45.2
69a5c500037701844052c365,920,1,46,left-6,right,left-dark,dark-up,fewer-up,single,51:45.5
65fcab5ed252c205f819b116,834,1,29,right-1,left,right-dark,dark-up,fewer-up,dual,51:46.1
6984a9d17c365f6f621d7fe7,943,1,42,left-3,left,left-dark,light-up,fewer-up,dual,51:45.4
604fe822b095421e07e3f93e,903,1,18,right-2,right,right-dark,light-up,fewer-up,dual,51:44.8
695bd68349914a703c6a9e80,1708,1,54,right-1,right,right-dark,dark-up,greater-up,dual,51:46.7
67e48f46ac070276b3bc9cfa,920,0,55,right-1,right,right-dark,dark-up,fewer-up,single,51:46.3
6544ff9e0fb2eaaf83e2de5c,1334,0,29,right-9,right,right-dark,light-up,greater-up,dual,51:46.8
615e420a23219efe3427a367,1117,1,66,right-2,right,right-dark,dark-up,greater-up,dual,51:48.0
604db6324496c57afe822770,1516,1,57,right-6,right,right-dark,light-up,fewer-up,single,51:47.4
65fcab5ed252c205f819b116,732,0,30,left-9,right,left-dark,light-up,fewer-up,dual,51:48.2
6984a9d17c365f6f621d7fe7,900,1,43,left-6,right,left-dark,light-up,greater-up,dual,51:47.6
604fe822b095421e07e3f93e,1033,1,19,right-4,left,right-dark,dark-up,fewer-up,dual,51:47.2
695f9da1eba3887a2214b9f6,1144,1,0,right-3,left,right-dark,dark-up,fewer-up,single,51:48.2
69a5c500037701844052c365,1598,1,47,right-1,left,right-dark,dark-up,fewer-up,single,51:48.4
67e48f46ac070276b3bc9cfa,1076,0,56,left-4,right,left-dark,dark-up,greater-up,single,51:48.6
60bc8860d04f4ac80d319a5c,1663,1,68,left-4,right,left-dark,dark-up,fewer-up,dual,51:48.3
695bd68349914a703c6a9e80,1765,0,55,left-1,right,left-dark,light-up,fewer-up,dual,51:49.7
6544ff9e0fb2eaaf83e2de5c,1328,0,30,right-6,right,right-dark,light-up,greater-up,dual,51:49.4
604db6324496c57afe822770,891,1,58,left-2,left,left-dark,dark-up,greater-up,single,51:49.4
615e420a23219efe3427a367,1224,1,67,left-5,left,left-dark,dark-up,greater-up,dual,51:50.6
65fcab5ed252c205f819b116,717,0,31,right-8,left,right-dark,dark-up,greater-up,dual,51:50.4
695f9da1eba3887a2214b9f6,817,1,1,left-9,right,left-dark,light-up,greater-up,single,51:50.2
6984a9d17c365f6f621d7fe7,943,1,44,right-6,left,right-dark,dark-up,fewer-up,dual,51:50.0
67e48f46ac070276b3bc9cfa,433,1,57,left-3,left,left-dark,dark-up,greater-up,single,51:50.8
69a5c500037701844052c365,1026,1,48,right-2,right,right-dark,light-up,fewer-up,single,51:50.8
60bc8860d04f4ac80d319a5c,NULL,0,69,left-5,none,left-dark,dark-up,greater-up,dual,51:51.0
604db6324496c57afe822770,917,1,59,right-7,right,right-dark,light-up,fewer-up,single,51:51.4
69acf86d93afc119933913e5,1499,1,60,right-8,right,right-dark,light-up,fewer-up,dual,51:51.3
695bd68349914a703c6a9e80,NULL,0,56,left-3,none,left-dark,light-up,greater-up,dual,51:52.3
6544ff9e0fb2eaaf83e2de5c,1283,0,31,left-6,left,left-dark,light-up,greater-up,dual,51:51.8
615e420a23219efe3427a367,917,0,68,right-6,right,right-dark,dark-up,fewer-up,dual,51:53.3
65fcab5ed252c205f819b116,NULL,0,32,left-4,none,left-dark,light-up,fewer-up,dual,51:53.1
6984a9d17c365f6f621d7fe7,850,1,45,right-0,right,right-dark,dark-up,greater-up,dual,51:52.1
695f9da1eba3887a2214b9f6,924,1,2,left-8,left,left-dark,light-up,fewer-up,single,51:52.4
67e48f46ac070276b3bc9cfa,641,0,58,right-4,left,right-dark,light-up,fewer-up,single,51:53.3
69a5c500037701844052c365,1256,1,49,right-6,left,right-dark,dark-up,fewer-up,single,51:53.5
69acf86d93afc119933913e5,1191,1,61,left-1,left,left-dark,light-up,fewer-up,dual,51:53.9
695bd68349914a703c6a9e80,1151,0,57,left-6,left,left-dark,dark-up,fewer-up,dual,51:55.0
60bc8860d04f4ac80d319a5c,NULL,0,70,right-4,none,right-dark,dark-up,fewer-up,dual,51:54.0
695f9da1eba3887a2214b9f6,757,1,3,right-9,right,right-dark,dark-up,greater-up,single,51:54.2
6984a9d17c365f6f621d7fe7,888,0,46,left-5,left,left-dark,dark-up,fewer-up,dual,51:54.1
6544ff9e0fb2eaaf83e2de5c,1734,0,32,right-4,left,right-dark,light-up,fewer-up,dual,51:54.8
604fe822b095421e07e3f93e,1004,1,20,left-8,right,left-dark,light-up,greater-up,dual,51:54.0
65fcab5ed252c205f819b116,657,0,33,left-2,right,left-dark,light-up,fewer-up,dual,51:55.6
698bd173e4842a5bd8ad85bb,NULL,0,20,left-6,none,left-dark,dark-up,greater-up,single,51:55.0
