id,participant_id,duration,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
5312,698e1bdaffae8699322bb097,1440.3999999985099,1440.3999999985099,0,13,right-9,left,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:39.9250000
5313,66305c77f66c14d7ca20647d,4307.699999809265,4307.699999809265,1,3,right-1,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:39.5500000
5314,66dcb77e1afbc2e7fa393b87,1029.5999999046326,1029.5999999046326,1,32,right-8,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:40.9100000
5315,67325d10b9e0c58d803cd7ba,1938.2000002861023,1938.2000002861023,1,53,left-7,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:35:41.6820000
5316,698e1bdaffae8699322bb097,590.3000000007451,590.3000000007451,1,14,right-1,left,right-dark,light-up,greater-up,dual,2026-02-17 21:35:42.0200000
5317,66305c77f66c14d7ca20647d,2336.199999809265,2336.199999809265,0,4,left-6,left,left-dark,light-up,greater-up,dual,2026-02-17 21:35:42.3980000
5318,66dcb77e1afbc2e7fa393b87,1778.0999999046326,1778.0999999046326,1,33,right-5,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:35:43.2060000
5319,698e1bdaffae8699322bb097,1242.800000000745,1242.800000000745,1,15,left-0,right,left-dark,light-up,greater-up,dual,2026-02-17 21:35:43.7650000
5320,67325d10b9e0c58d803cd7ba,1448.2999997138977,1448.2999997138977,1,54,right-3,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:43.6430000
5321,66dcb77e1afbc2e7fa393b87,1519.2000000476837,1519.2000000476837,1,34,left-4,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:35:45.2430000
5322,698e1bdaffae8699322bb097,996.8000000007451,996.8000000007451,0,16,left-9,right,left-dark,dark-up,greater-up,dual,2026-02-17 21:35:45.2640000
5323,67325d10b9e0c58d803cd7ba,1692.4000000953674,1692.4000000953674,1,55,right-4,right,right-dark,dark-up,greater-up,dual,2026-02-17 21:35:45.8510000
5324,698e1bdaffae8699322bb097,520.4000000022352,520.4000000022352,1,17,left-8,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:35:47.2880000
5325,67325d10b9e0c58d803cd7ba,1160.4000000953674,1160.4000000953674,1,56,left-2,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:35:47.5200000
5326,66dcb77e1afbc2e7fa393b87,2806.2999999523163,2806.2999999523163,1,35,left-2,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:35:48.5770000
5327,67325d10b9e0c58d803cd7ba,1181.4000000953674,1181.4000000953674,1,57,right-3,left,right-dark,light-up,greater-up,dual,2026-02-17 21:35:49.2110000
5328,66305c77f66c14d7ca20647d,5051.299999952316,5051.299999952316,1,5,right-6,right,right-dark,dark-up,greater-up,dual,2026-02-17 21:35:48.9610000
5329,698e1bdaffae8699322bb097,1999.2000000029802,1999.2000000029802,1,18,left-5,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:35:49.7900000
5330,67325d10b9e0c58d803cd7ba,1052.4000000953674,1052.4000000953674,1,58,right-5,left,right-dark,light-up,greater-up,dual,2026-02-17 21:35:50.7790000
5331,698e1bdaffae8699322bb097,1037.800000000745,1037.800000000745,1,19,right-1,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:35:51.3300000
5332,66dcb77e1afbc2e7fa393b87,3257.2999999523163,3257.2999999523163,1,36,left-5,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:35:52.3410000
5333,67325d10b9e0c58d803cd7ba,1525.6000003814697,1525.6000003814697,1,59,right-5,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:52.8110000
5334,66305c77f66c14d7ca20647d,4252.700000047684,4252.700000047684,1,6,left-6,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:35:53.7240000
5335,66dcb77e1afbc2e7fa393b87,2233.300000190735,2233.300000190735,1,37,left-2,right,left-dark,light-up,greater-up,dual,2026-02-17 21:35:55.0810000
5336,5a4ff86beedc32000141f232,3642.899999976158,3642.899999976158,1,20,left-4,left,left-dark,light-up,fewer-up,single,2026-02-17 21:35:55.2410000
5337,698e1bdaffae8699322bb097,1472.7999999970198,1472.7999999970198,0,20,left-8,right,left-dark,light-up,fewer-up,dual,2026-02-17 21:35:56.3290000
5338,588e02b13326830001bc29cd,1645.5,1645.5,1,60,left-1,right,left-dark,dark-up,fewer-up,single,2026-02-17 21:35:56.5010000
5339,5a4ff86beedc32000141f232,2029.8999999761581,2029.8999999761581,1,21,left-6,right,left-dark,light-up,greater-up,single,2026-02-17 21:35:57.7770000
5340,66dcb77e1afbc2e7fa393b87,2534.7000000476837,2534.7000000476837,1,38,right-4,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:35:58.1290000
5341,588e02b13326830001bc29cd,1291.5999999046326,1291.5999999046326,1,61,left-5,left,left-dark,light-up,fewer-up,single,2026-02-17 21:35:58.3010000
5342,698e1bdaffae8699322bb097,532.9000000022352,532.9000000022352,1,21,right-5,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:35:58.3680000
5343,66305c77f66c14d7ca20647d,3840.300000190735,3840.300000190735,1,7,left-8,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:35:58.0690000
5344,66dcb77e1afbc2e7fa393b87,1165.0999999046326,1165.0999999046326,1,39,left-0,right,left-dark,light-up,greater-up,dual,2026-02-17 21:35:59.8090000
5345,588e02b13326830001bc29cd,1465,1465,1,62,right-6,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:36:00.2740000
5346,698e1bdaffae8699322bb097,1496.5,1496.5,1,22,right-3,left,right-dark,light-up,greater-up,dual,2026-02-17 21:36:00.3660000
5347,67325d10b9e0c58d803cd7ba,2214.7999997138977,2214.7999997138977,1,60,left-1,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:36:00.0660000
5348,5a4ff86beedc32000141f232,2100.600000023842,2100.600000023842,1,22,right-5,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:36:00.3850000
5349,698e1bdaffae8699322bb097,861.3000000007451,861.3000000007451,0,23,left-4,left,left-dark,light-up,greater-up,dual,2026-02-17 21:36:01.7300000
5350,67325d10b9e0c58d803cd7ba,1328.3000001907349,1328.3000001907349,1,61,left-9,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:36:01.8990000
5351,588e02b13326830001bc29cd,1554.5,1554.5,1,63,left-7,right,left-dark,dark-up,fewer-up,single,2026-02-17 21:36:02.3320000
5352,5a4ff86beedc32000141f232,2040.1000000238419,2040.1000000238419,1,23,left-3,left,left-dark,dark-up,greater-up,single,2026-02-17 21:36:02.9290000
5353,66305c77f66c14d7ca20647d,4191.200000047684,4191.200000047684,1,8,left-0,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:36:02.7680000
5354,66dcb77e1afbc2e7fa393b87,1455.5,1455.5,1,40,right-8,right,right-dark,dark-up,greater-up,dual,2026-02-17 21:36:03.7720000
5355,67325d10b9e0c58d803cd7ba,1090.9000000953674,1090.9000000953674,1,62,left-0,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:36:03.4990000
5356,698e1bdaffae8699322bb097,919.8000000007451,919.8000000007451,1,24,right-7,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:36:04.1550000
5357,5a4ff86beedc32000141f232,1446.800000011921,1446.800000011921,1,24,left-2,left,left-dark,dark-up,greater-up,single,2026-02-17 21:36:04.8890000
5358,588e02b13326830001bc29cd,2153.600000143051,2153.600000143051,1,64,right-8,right,right-dark,light-up,fewer-up,single,2026-02-17 21:36:04.9980000
5359,66dcb77e1afbc2e7fa393b87,1416.8000001907349,1416.8000001907349,1,41,left-9,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:36:05.7020000
5360,698e1bdaffae8699322bb097,1135.5,1135.5,1,25,left-9,right,left-dark,light-up,greater-up,dual,2026-02-17 21:36:05.7930000
5361,67325d10b9e0c58d803cd7ba,1557.7999997138977,1557.7999997138977,1,63,right-7,right,right-dark,dark-up,greater-up,dual,2026-02-17 21:36:05.5710000
5362,66305c77f66c14d7ca20647d,2696.5999999046326,2696.5999999046326,1,9,right-9,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:36:05.9780000
5363,588e02b13326830001bc29cd,1216.1999998092651,1216.1999998092651,1,65,left-8,right,left-dark,light-up,greater-up,single,2026-02-17 21:36:06.7250000
5364,5a4ff86beedc32000141f232,1690,1690,1,25,right-8,right,right-dark,dark-up,greater-up,single,2026-02-17 21:36:07.0890000
5365,698e1bdaffae8699322bb097,2052.699999999255,2052.699999999255,1,26,right-8,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:36:08.3480000
5366,66dcb77e1afbc2e7fa393b87,2541.399999856949,2541.399999856949,1,42,left-1,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:36:08.7650000
5367,588e02b13326830001bc29cd,1595.2000000476837,1595.2000000476837,1,66,right-1,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:36:08.8360000
5368,5a4ff86beedc32000141f232,1529.699999988079,1529.699999988079,1,26,right-9,right,right-dark,dark-up,greater-up,single,2026-02-17 21:36:09.1210000
5369,698e1bdaffae8699322bb097,1526,1526,1,27,right-2,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:36:10.3760000
5370,67325d10b9e0c58d803cd7ba,4005.6000003814697,4005.6000003814697,1,64,left-5,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:36:10.0900000
5371,588e02b13326830001bc29cd,1200.2999999523163,1200.2999999523163,1,67,right-5,right,right-dark,light-up,fewer-up,single,2026-02-17 21:36:10.5410000
5372,66dcb77e1afbc2e7fa393b87,1473,1473,1,43,left-9,right,left-dark,light-up,greater-up,dual,2026-02-17 21:36:10.7420000
5373,5a4ff86beedc32000141f232,1535,1535,1,27,left-8,right,left-dark,light-up,greater-up,single,2026-02-17 21:36:11.1690000
5374,698e1bdaffae8699322bb097,687.1000000014901,687.1000000014901,0,28,right-6,left,right-dark,dark-up,greater-up,dual,2026-02-17 21:36:11.5650000
5375,588e02b13326830001bc29cd,1386.1000001430511,1386.1000001430511,1,68,right-4,left,right-dark,light-up,greater-up,single,2026-02-17 21:36:12.4320000
5376,67325d10b9e0c58d803cd7ba,1562.5999999046326,1562.5999999046326,1,65,right-4,right,right-dark,light-up,fewer-up,dual,2026-02-17 21:36:12.1630000
5377,5a4ff86beedc32000141f232,1415.699999988079,1415.699999988079,1,28,left-4,right,left-dark,light-up,greater-up,single,2026-02-17 21:36:13.0890000
5378,66dcb77e1afbc2e7fa393b87,2127.2999999523163,2127.2999999523163,1,44,left-3,right,left-dark,light-up,greater-up,dual,2026-02-17 21:36:13.3810000
5379,66305c77f66c14d7ca20647d,6575.600000143051,6575.600000143051,0,10,right-8,left,right-dark,dark-up,greater-up,dual,2026-02-17 21:36:13.0660000
5380,698e1bdaffae8699322bb097,1151,1151,1,29,left-1,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:36:14.2210000
5381,67325d10b9e0c58d803cd7ba,1381.3000001907349,1381.3000001907349,1,66,right-8,right,right-dark,dark-up,greater-up,dual,2026-02-17 21:36:14.0590000
5382,588e02b13326830001bc29cd,1445.3999998569489,1445.3999998569489,1,69,left-4,left,left-dark,light-up,fewer-up,single,2026-02-17 21:36:14.3880000
5383,66dcb77e1afbc2e7fa393b87,1497.8999998569489,1497.8999998569489,0,45,right-3,right,right-dark,light-up,greater-up,dual,2026-02-17 21:36:15.3940000
5384,5a4ff86beedc32000141f232,1801.0999999642372,1801.0999999642372,1,29,right-9,left,right-dark,light-up,greater-up,single,2026-02-17 21:36:15.3930000
5385,698e1bdaffae8699322bb097,1117.5,1117.5,1,30,left-9,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:36:15.8400000
5386,67325d10b9e0c58d803cd7ba,1491.9000000953674,1491.9000000953674,1,67,left-7,right,left-dark,light-up,greater-up,dual,2026-02-17 21:36:16.0590000
5387,588e02b13326830001bc29cd,1759.5,1759.5,1,70,left-6,right,left-dark,light-up,greater-up,single,2026-02-17 21:36:16.6500000
5388,66305c77f66c14d7ca20647d,2576.5,2576.5,0,11,right-7,left,right-dark,dark-up,greater-up,dual,2026-02-17 21:36:17.1700000
5389,5a4ff86beedc32000141f232,2106.100000023842,2106.100000023842,1,30,right-0,right,right-dark,dark-up,greater-up,single,2026-02-17 21:36:18.0090000
5390,66dcb77e1afbc2e7fa393b87,1627,1627,1,46,left-7,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:36:18.5540000
5391,698e1bdaffae8699322bb097,2241,2241,1,31,left-1,right,left-dark,light-up,greater-up,dual,2026-02-17 21:36:18.5840000
5392,588e02b13326830001bc29cd,1823.5,1823.5,1,71,left-3,left,left-dark,light-up,fewer-up,single,2026-02-17 21:36:18.9820000
